name,price
دلار,554590
یورو,606660
درهم امارات,152740
پوند انگلیس,709680
لیر ترکیه,18400
فرانک سوئیس,644700
یوان چین,77800
ین ژاپن (100 ین),378750
وون کره جنوبی,420
دلار کانادا,414300
دلار استرالیا,367400
دلار نیوزیلند,341000
دلار سنگاپور,416100
روپیه هند,6700
روپیه پاکستان,2026
دینار عراق,434
پوند سوریه,221
افغانی,7600
کرون دانمارک,81300
کرون سوئد,53500
کرون نروژ,53200
ریال عربستان,148600
ریال قطر,152900
ریال عمان,1450900
دینار کویت,1812300
دینار بحرین,1487400
رینگیت مالزی,117700
بات تایلند,15580
دلار هنگ کنگ,71200
روبل روسیه,6400
منات آذربایجان,327400
درام ارمنستان,1390
لاری گرجستان,210300
سوم قرقیزستان,6230
سامانی تاجیکستان,51500
منات ترکمنستان,166100
